CUSTOMER_SK,NO_OF_PRODUCT,DISTINCT_PRODUCT,TOTAL_REVENUE,NO_OF_VISIT,AVERAGE_PRICE,PERCENTAGE_BASKETS_WEEKEND
58640418,416,244,1357.45984,66,3.075914308,1.1364
22179005,429,171,1357.28993,35,3.265268237,2.2286
60028479,434,203,1356.0999,42,2.995057784,4.1429
59016293,388,294,1356.02996,19,3.30086553,5.3158
60678405,338,265,1355.59979,49,3.768651179,2.4694
51032040,374,201,1355.22987,65,3.614028191,1.4769
59343265,259,169,1354.22975,18,4.794275702,7.6111
36790262,338,149,1354.0799,47,3.871636822,2.4468
61368000,388,249,1351.35994,26,3.275543918,0.3077
22189511,373,167,1351.04999,23,3.483431609,1.5652
61165795,432,260,1350.47997,50,2.832210507,3.52
40172924,396,219,1350.38993,17,3.525193566,0.0588
39356075,306,185,1349.05975,34,4.265626353,3.9706
59970601,381,219,1348.97994,61,3.6096513,1.623
36785334,331,208,1348.2499,39,3.868905471,2.7179
53557613,365,158,1347.75992,34,3.53661626,2.6471
66095154,334,161,1347.51989,37,3.899864142,3
59072117,350,226,1347.01001,35,3.806492652,5.4571
61815631,413,228,1346.50997,45,3.125679515,3.5333
59805125,356,126,1345.79993,59,3.315004554,3.0678
34416508,401,210,1345.57992,48,3.284328911,0.5208
64453330,384,255,1344.05997,76,3.39428059,2.0132
58889845,307,185,1343.9698,22,3.937657508,1.1364
22009786,276,169,1343.96977,17,4.438652609,8.5882
39747934,371,206,1342.39986,29,3.629333845,4.4138
22288121,352,169,1341.82986,15,3.688010994,4.5333
21046999,378,194,1341.47988,55,3.035357821,1.8909
20687544,252,64,1340.61972,17,4.638563978,0
59427773,305,188,1339.32979,31,4.321326102,6.129
21155065,324,192,1339.30979,20,3.786890117,8.25
52621382,388,224,1338.64989,39,3.339320074,3.359
61851994,304,166,1338.36984,23,4.126176679,0
39451065,346,210,1337.66991,39,3.823342859,3.4359
22906919,414,228,1337.0899,37,3.123600748,2.3784
63984745,284,152,1336.77972,32,4.195789818,1.7188
40142225,342,171,1336.61975,35,3.513650376,5.6571
21431498,310,127,1335.70985,41,3.901382066,1.5366
59563569,291,160,1333.81969,30,3.835468817,2.3
23326023,319,207,1333.52988,23,3.842065875,10.3913
59671058,283,160,1333.49976,26,4.220448768,4.6538
53015058,281,203,1333.38963,53,4.397144452,1.0755
59012639,279,144,1333.21978,25,4.445623518,2.6
37120692,430,181,1332.60995,28,3.323036,3.7143
53318848,423,323,1331.2899,77,3.028680791,0.7792
59016223,356,248,1331.28977,34,3.585672641,2.0294
64910548,307,190,1330.00983,33,4.095386187,4.8485
61857242,411,285,1329.40981,76,3.002367562,1.3816
62384523,365,231,1328.08992,54,3.571788521,2.4074
34446480,343,239,1327.9798,30,3.893085445,2.3
61863675,309,172,1327.93976,35,3.993826645,5.2286
